ticker_krx,name_kr,sector,has_free_q4,years,github_path
000100,유한양행,Bio/Healthcare,True,2025,filings/000100_유한양행
000120,CJ대한통운,Other,True,2025,filings/000120_CJ대한통운
000150,두산,Other,True,2025,filings/000150_두산
000660,SK하이닉스,Semiconductor/IT,True,2025,filings/000660_SK하이닉스
000720,현대건설,Other,True,2025,filings/000720_현대건설
000880,한화,Other,True,2025,filings/000880_한화
000990,DB하이텍,Other,True,2025,filings/000990_DB하이텍
002380,KCC,Other,True,2025,filings/002380_KCC
003490,대한항공,Other,True,2025,filings/003490_대한항공
004370,농심,Other,True,2025,filings/004370_농심
004800,효성,Other,True,2025,filings/004800_효성
005300,롯데칠성음료,Other,True,2025,filings/005300_롯데칠성음료
005380,현대자동차,Auto/Battery/Defense,True,2025,filings/005380_현대자동차
005930,삼성전자,Semiconductor/IT,True,2025,filings/005930_삼성전자
006280,녹십자,Bio/Healthcare,True,2025,filings/006280_녹십자
006360,GS건설,Other,True,2025,filings/006360_GS건설
006400,삼성SDI,Semiconductor/IT,True,2025,filings/006400_삼성SDI
007070,GS리테일,Other,True,2025,filings/007070_GS리테일
009150,삼성전기,Semiconductor/IT,True,2025,filings/009150_삼성전기
009830,한화솔루션,Other,False,2026,filings/009830_한화솔루션
010060,OCI홀딩스,Other,True,2025,filings/010060_OCI홀딩스
010950,에스오일,Other,True,2025,filings/010950_에스오일
011070,LG이노텍,Other,True,2025,filings/011070_LG이노텍
011170,롯데케미칼,Other,True,2025,filings/011170_롯데케미칼
011200,HMM,Other,True,2025,filings/011200_HMM
017670,SK텔레콤,Semiconductor/IT,True,2025,filings/017670_SK텔레콤
018260,삼성SDS,Semiconductor/IT,True,2025,filings/018260_삼성SDS
023530,롯데쇼핑,Other,True,2025,filings/023530_롯데쇼핑
028260,삼성물산,Other,True,2025,filings/028260_삼성물산
030200,KT,Semiconductor/IT,True,"2024,2025",filings/030200_KT
032640,LG유플러스,Semiconductor/IT,True,2025,filings/032640_LG유플러스
033780,KT&G,Other,True,2025,filings/033780_KT&G
035420,Naver,Semiconductor/IT,True,2025,filings/035420_Naver
035720,카카오,Semiconductor/IT,True,2025,filings/035720_카카오
036570,엔씨소프트,Semiconductor/IT,True,2025,filings/036570_엔씨소프트
047040,대우건설,Other,True,2025,filings/047040_대우건설
051900,LG생활건강,Other,True,2025,filings/051900_LG생활건강
051910,LG화학,Other,True,2025,filings/051910_LG화학
058470,리노공업,Other,True,2025,filings/058470_리노공업
064400,LGCNS,Semiconductor/IT,True,2025,filings/064400_LGCNS
066570,LG전자,Other,True,2025,filings/066570_LG전자
078930,GS,Other,True,2025,filings/078930_GS
086280,현대글로비스,Other,True,2025,filings/086280_현대글로비스
090430,아모레퍼시픽,Other,True,2025,filings/090430_아모레퍼시픽
096530,씨젠,Bio/Healthcare,True,2025,filings/096530_씨젠
097950,CJ제일제당,Other,True,2025,filings/097950_CJ제일제당
128940,한미약품,Bio/Healthcare,True,2025,filings/128940_한미약품
138040,메리츠금융지주,Financial,True,2025,filings/138040_메리츠금융지주
139480,이마트,Other,True,2025,filings/139480_이마트
145020,휴젤,Bio/Healthcare,True,2025,filings/145020_휴젤
161390,한국타이어앤테크,Other,True,2025,filings/161390_한국타이어앤테크
161890,한국콜마,Other,True,2025,filings/161890_한국콜마
192820,코스맥스,Other,True,2025,filings/192820_코스맥스
259960,크래프톤,Semiconductor/IT,True,2025,filings/259960_크래프톤
267250,HD현대,Other,True,2025,filings/267250_HD현대
282330,BGF리테일,Other,True,2025,filings/282330_BGF리테일
294870,HDC현대산업개발,Other,True,2025,filings/294870_HDC현대산업개발
298020,효성티앤씨,Other,True,2025,filings/298020_효성티앤씨
298050,효성첨단소재,Other,True,2025,filings/298050_효성첨단소재
302440,SK바이오사이언스,Bio/Healthcare,True,2025,filings/302440_SK바이오사이언스
307950,현대오토에버,Other,True,2025,filings/307950_현대오토에버
323410,카카오뱅크,Financial,True,2025,filings/323410_카카오뱅크
326030,SK바이오팜,Bio/Healthcare,True,2025,filings/326030_SK바이오팜
352820,하이브,Semiconductor/IT,True,2025,filings/352820_하이브
375500,DL이앤씨,Other,True,2025,filings/375500_DL이앤씨
377300,카카오페이,Financial,True,2025,filings/377300_카카오페이
